Date,Price,Open,High,Low,Vol.,Change %,ID,AVG
01/01/2013,3.339,3.348,3.645,3.05,2.63M,-0.36%,153,3.346
02/01/2013,3.486,3.328,3.554,3.125,2.61M,4.40%,152,3.373
03/01/2013,4.024,3.491,4.121,3.408,2.75M,15.43%,151,3.761
04/01/2013,4.343,3.969,4.429,3.861,3.45M,7.93%,150,4.151
05/01/2013,3.984,4.34,4.444,3.883,2.59M,-8.27%,149,4.163
06/01/2013,3.565,3.963,4.04,3.526,2.45M,-10.52%,148,3.774
07/01/2013,3.446,3.547,3.835,3.413,2.16M,-3.34%,147,3.56
08/01/2013,3.581,3.452,3.655,3.129,2.62M,3.92%,146,3.454
09/01/2013,3.56,3.601,3.82,3.402,2.05M,-0.59%,145,3.596
10/01/2013,3.581,3.557,3.869,3.48,2.75M,0.59%,144,3.622
11/01/2013,3.954,3.574,3.962,3.379,2.08M,10.42%,143,3.717
12/01/2013,4.23,3.911,4.532,3.897,2.99M,6.98%,142,4.143
01/01/2014,4.943,4.232,5.725,3.953,3.36M,16.86%,141,4.713
02/01/2014,4.609,4.85,6.493,4.441,3.18M,-6.76%,140,5.098
03/01/2014,4.371,4.69,4.736,4.262,1.94M,-5.16%,139,4.515
04/01/2014,4.815,4.367,4.852,4.221,2.04M,10.16%,138,4.564
05/01/2014,4.542,4.797,4.827,4.289,1.89M,-5.67%,137,4.614
06/01/2014,4.461,4.551,4.886,4.35,2.09M,-1.78%,136,4.562
07/01/2014,3.841,4.447,4.488,3.723,1.83M,-13.90%,135,4.125
08/01/2014,4.065,3.829,4.101,3.727,1.97M,5.83%,134,3.931
09/01/2014,4.121,4.048,4.178,3.761,2.20M,1.38%,133,4.027
10/01/2014,3.873,4.13,4.184,3.541,2.38M,-6.02%,132,3.932
11/01/2014,4.088,4.007,4.544,3.931,3.01M,5.55%,131,4.143
12/01/2014,2.889,3.975,4.041,2.882,2.62M,-29.33%,130,3.447
01/01/2015,2.691,2.845,3.352,2.637,2.64M,-6.85%,129,2.881
02/01/2015,2.734,2.664,3.039,2.567,2.49M,1.60%,128,2.751
03/01/2015,2.64,2.691,2.935,2.578,2.36M,-3.44%,127,2.711
04/01/2015,2.751,2.637,2.77,2.443,2.44M,4.20%,126,2.65
05/01/2015,2.642,2.737,3.105,2.633,2.43M,-3.96%,125,2.779
06/01/2015,2.832,2.615,2.955,2.556,3.00M,7.19%,124,2.74
07/01/2015,2.716,2.816,2.951,2.644,2.61M,-4.10%,123,2.782
08/01/2015,2.689,2.725,2.934,2.624,2.54M,-0.99%,122,2.743
09/01/2015,2.524,2.686,2.794,2.511,2.26M,-6.14%,121,2.629
10/01/2015,2.321,2.522,2.578,1.948,2.94M,-8.04%,120,2.342
11/01/2015,2.235,2.268,2.46,2.051,2.50M,-3.71%,119,2.254
12/01/2015,2.337,2.23,2.387,1.684,3.01M,4.56%,118,2.16
01/01/2016,2.298,2.366,2.495,2.044,2.48M,-1.67%,117,2.301
02/01/2016,1.711,2.213,2.228,1.682,2.58M,-25.54%,116,1.959
03/01/2016,1.959,1.707,2.028,1.611,2.81M,14.49%,115,1.826
04/01/2016,2.178,1.963,2.195,1.872,3.04M,11.18%,114,2.052
05/01/2016,2.288,2.132,2.303,1.909,2.64M,5.05%,113,2.158
06/01/2016,2.924,2.287,2.974,2.277,3.12M,27.80%,112,2.616
07/01/2016,2.876,2.931,2.998,2.625,2.36M,-1.64%,111,2.858
08/01/2016,2.887,2.84,2.943,2.523,2.96M,0.38%,110,2.798
09/01/2016,2.906,2.879,3.098,2.665,2.69M,0.66%,109,2.887
10/01/2016,3.026,2.905,3.366,2.627,3.33M,4.13%,108,2.981
11/01/2016,3.352,2.979,3.367,2.546,2.99M,10.77%,107,3.061
12/01/2016,3.724,3.348,3.994,3.242,3.29M,11.10%,106,3.577
01/01/2017,3.117,3.568,3.568,3.098,2.84M,-16.30%,105,3.338
02/01/2017,2.774,3.134,3.228,2.522,2.63M,-11.00%,104,2.915
03/01/2017,3.19,2.77,3.242,2.73,3.12M,15.00%,103,2.983
04/01/2017,3.276,3.217,3.347,3.022,2.65M,2.70%,102,3.216
05/01/2017,3.071,3.249,3.431,3.061,3.17M,-6.26%,101,3.203
06/01/2017,3.035,3.08,3.128,2.855,3.16M,-1.17%,100,3.025
07/01/2017,2.794,2.949,3.114,2.781,2.74M,-7.94%,99,2.91
08/01/2017,3.04,2.81,3.045,2.753,2.94M,8.80%,98,2.912
09/01/2017,3.007,3.027,3.166,2.885,3.17M,-1.09%,97,3.021
10/01/2017,2.896,3.018,3.036,2.723,3.89M,-3.69%,96,2.918
11/01/2017,3.025,2.906,3.231,2.797,3.82M,4.45%,95,2.99
12/01/2017,2.953,3.032,3.127,2.568,4.23M,-2.38%,94,2.92
01/01/2018,2.995,3.03,3.661,2.746,5.35M,1.42%,93,3.108
02/01/2018,2.667,2.956,2.978,2.53,3.10M,-10.95%,92,2.783
03/01/2018,2.733,2.668,2.811,2.565,2.55M,2.47%,91,2.694
04/01/2018,2.763,2.73,2.839,2.621,2.91M,1.10%,90,2.738
05/01/2018,2.952,2.764,2.988,2.695,2.87M,6.84%,89,2.85
06/01/2018,2.924,2.951,3.053,2.873,2.68M,-0.95%,88,2.95
07/01/2018,2.782,2.92,2.927,2.704,2.26M,-4.86%,87,2.833
08/01/2018,2.916,2.78,2.993,2.74,2.69M,4.82%,86,2.857
09/01/2018,3.008,2.9,3.111,2.752,2.80M,3.16%,85,2.943
