Date,Year,Month,Price,Open,High,Low,Avg
5/1/2005,2005,May,0.7973,0.7971,0.8086,0.7856,0.7972
6/1/2005,2005,Jun,0.8159,0.7973,0.8176,0.7943,0.8063
7/1/2005,2005,Jul,0.818,0.8035,0.8319,0.8015,0.8137
8/1/2005,2005,Aug,0.8415,0.8181,0.8448,0.8163,0.8302
9/1/2005,2005,Sep,0.8596,0.8418,0.863,0.8374,0.8505
10/1/2005,2005,Oct,0.8462,0.8575,0.8605,0.8388,0.8508
11/1/2005,2005,Nov,0.8578,0.8463,0.8589,0.8347,0.8494
12/1/2005,2005,Dec,0.8601,0.8579,0.8752,0.8507,0.8610
1/1/2006,2006,Jan,0.8774,0.8584,0.8793,0.8476,0.8657
2/1/2006,2006,Feb,0.8797,0.8779,0.881,0.8611,0.8749
3/1/2006,2006,Mar,0.8559,0.8798,0.8851,0.8512,0.8680
4/1/2006,2006,Apr,0.8952,0.8542,0.8959,0.8494,0.8737
5/1/2006,2006,May,0.908,0.8949,0.9151,0.8869,0.9012
6/1/2006,2006,Jun,0.8951,0.9086,0.9122,0.8858,0.9004
7/1/2006,2006,Jul,0.8835,0.8972,0.9058,0.8727,0.8898
8/1/2006,2006,Aug,0.9061,0.8834,0.9062,0.8794,0.8938
9/1/2006,2006,Sep,0.8942,0.9056,0.9063,0.8852,0.8978
10/1/2006,2006,Oct,0.8909,0.8947,0.8972,0.8761,0.8897
11/1/2006,2006,Nov,0.876,0.8909,0.892,0.87,0.8822
12/1/2006,2006,Dec,0.8579,0.8768,0.8795,0.8569,0.8678
1/1/2007,2007,Jan,0.8502,0.8577,0.8603,0.8437,0.8530
2/1/2007,2007,Feb,0.8554,0.8501,0.8649,0.842,0.8531
3/1/2007,2007,Mar,0.8671,0.8551,0.8697,0.8456,0.8594
4/1/2007,2007,Apr,0.9014,0.8682,0.9051,0.8621,0.8842
5/1/2007,2007,May,0.9342,0.901,0.9378,0.8953,0.9171
6/1/2007,2007,Jun,0.9387,0.9347,0.9549,0.9295,0.9395
7/1/2007,2007,Jul,0.937,0.9406,0.9671,0.9346,0.9448
8/1/2007,2007,Aug,0.9469,0.9376,0.9559,0.9204,0.9402
9/1/2007,2007,Sep,1.0086,0.9475,1.0088,0.9442,0.9773
10/1/2007,2007,Oct,1.0594,1.0072,1.0617,0.9984,1.0317
11/1/2007,2007,Nov,1,1.0606,1.1037,0.9985,1.0407
12/1/2007,2007,Dec,1.0035,1.0007,1.0252,0.9759,1.0013
1/1/2008,2008,Jan,0.9967,1.0016,1.0163,0.9636,0.9946
2/1/2008,2008,Feb,1.0158,0.9973,1.0297,0.9807,1.0059
3/1/2008,2008,Mar,0.9746,1.015,1.0259,0.9715,0.9968
4/1/2008,2008,Apr,0.9929,0.9747,1.0011,0.9685,0.9843
5/1/2008,2008,May,1.0066,0.9935,1.0184,0.9765,0.9988
6/1/2008,2008,Jun,0.9793,1.005,1.0072,0.9689,0.9901
7/1/2008,2008,Jul,0.977,0.9806,1.0025,0.9736,0.9834
8/1/2008,2008,Aug,0.9401,0.9781,0.9778,0.9324,0.9571
9/1/2008,2008,Sep,0.9402,0.9424,0.9711,0.9243,0.9445
10/1/2008,2008,Oct,0.8247,0.9414,0.9482,0.7684,0.8707
11/1/2008,2008,Nov,0.8093,0.8269,0.872,0.7703,0.8196
12/1/2008,2008,Dec,0.8218,0.8088,0.8381,0.769,0.8094
1/1/2009,2009,Jan,0.8151,0.822,0.8502,0.7836,0.8177
2/1/2009,2009,Feb,0.7853,0.8146,0.8243,0.7856,0.8025
3/1/2009,2009,Mar,0.7926,0.7833,0.8203,0.7657,0.7905
4/1/2009,2009,Apr,0.8377,0.7927,0.8431,0.7867,0.8151
5/1/2009,2009,May,0.9168,0.8377,0.9182,0.837,0.8774
6/1/2009,2009,Jun,0.86,0.9172,0.9274,0.8594,0.8910
