"REF_DATE","GEO","DGUID","Fertilizer product type","Period","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2006/2007","Atlantic provinces","2016A00011","Diammonium phosphate (DAP) 18-46-0","July to December","Metric tonnes","214","thousands","3","v52471222","3.7.2","22","","","","0"
"2006/2007","Atlantic provinces","2016A00011","Diammonium phosphate (DAP) 18-46-0","July to March","Metric tonnes","214","thousands","3","v52471330","3.7.3","31","","","","0"
"2006/2007","Atlantic provinces","2016A00011","Diammonium phosphate (DAP) 18-46-0","July to June","Metric tonnes","214","thousands","3","v52471438","3.7.4","","x","","","0"
"2006/2007","Atlantic provinces","2016A00011","Potash 0-0-60-0","July to September","Metric tonnes","214","thousands","3","v52471115","3.8.1","8","","","","0"
"2006/2007","Atlantic provinces","2016A00011","Potash 0-0-60-0","July to December","Metric tonnes","214","thousands","3","v52471223","3.8.2","16","","","","0"
"2006/2007","Atlantic provinces","2016A00011","Potash 0-0-60-0","July to March","Metric tonnes","214","thousands","3","v52471331","3.8.3","24","","","","0"
"2006/2007","Atlantic provinces","2016A00011","Potash 0-0-60-0","July to June","Metric tonnes","214","thousands","3","v52471439","3.8.4","","x","","","0"
"2006/2007","Atlantic provinces","2016A00011","Other fertilizer products","July to September","Metric tonnes","214","thousands","3","v52471116","3.9.1","","0s","","","0"
"2006/2007","Atlantic provinces","2016A00011","Other fertilizer products","July to December","Metric tonnes","214","thousands","3","v52471224","3.9.2","3","","","","0"
"2006/2007","Atlantic provinces","2016A00011","Other fertilizer products","July to March","Metric tonnes","214","thousands","3","v52471332","3.9.3","4","","","","0"
"2006/2007","Atlantic provinces","2016A00011","Other fertilizer products","July to June","Metric tonnes","214","thousands","3","v52471440","3.9.4","8","","","","0"
"2006/2007","Quebec","2016A000224","Ammonia (NH3) 82-0-0-0","July to September","Metric tonnes","214","thousands","3","v52471117","4.1.1","1","","","","0"
"2006/2007","Quebec","2016A000224","Ammonia (NH3) 82-0-0-0","July to December","Metric tonnes","214","thousands","3","v52471225","4.1.2","1","","","","0"
"2006/2007","Quebec","2016A000224","Ammonia (NH3) 82-0-0-0","July to March","Metric tonnes","214","thousands","3","v52471333","4.1.3","1","","","","0"
"2006/2007","Quebec","2016A000224","Ammonia (NH3) 82-0-0-0","July to June","Metric tonnes","214","thousands","3","v52471441","4.1.4","4","","","","0"
"2006/2007","Quebec","2016A000224","Urea 46-0-0","July to September","Metric tonnes","214","thousands","3","v52471118","4.2.1","15","","","","0"
"2006/2007","Quebec","2016A000224","Urea 46-0-0","July to December","Metric tonnes","214","thousands","3","v52471226","4.2.2","50","","","","0"
"2006/2007","Quebec","2016A000224","Urea 46-0-0","July to March","Metric tonnes","214","thousands","3","v52471334","4.2.3","66","","","","0"
"2006/2007","Quebec","2016A000224","Urea 46-0-0","July to June","Metric tonnes","214","thousands","3","v52471442","4.2.4","140","","","","0"
"2006/2007","Quebec","2016A000224","Urea ammonium nitrate (UAN) 28-0-0-0","July to September","Metric tonnes","214","thousands","3","v52471119","4.3.1","8","","","","0"
"2006/2007","Quebec","2016A000224","Urea ammonium nitrate (UAN) 28-0-0-0","July to December","Metric tonnes","214","thousands","3","v52471227","4.3.2","27","","","","0"
"2006/2007","Quebec","2016A000224","Urea ammonium nitrate (UAN) 28-0-0-0","July to March","Metric tonnes","214","thousands","3","v52471335","4.3.3","28","","","","0"
"2006/2007","Quebec","2016A000224","Urea ammonium nitrate (UAN) 28-0-0-0","July to June","Metric tonnes","214","thousands","3","v52471443","4.3.4","74","","","","0"
"2006/2007","Quebec","2016A000224","Ammonium nitrate/calcium ammonium nitrate (AN/CAN) 34-0-0-0","July to September","Metric tonnes","214","thousands","3","v52471120","4.4.1","1","","","","0"
"2006/2007","Quebec","2016A000224","Ammonium nitrate/calcium ammonium nitrate (AN/CAN) 34-0-0-0","July to December","Metric tonnes","214","thousands","3","v52471228","4.4.2","10","","","","0"
"2006/2007","Quebec","2016A000224","Ammonium nitrate/calcium ammonium nitrate (AN/CAN) 34-0-0-0","July to March","Metric tonnes","214","thousands","3","v52471336","4.4.3","12","","","","0"
"2006/2007","Quebec","2016A000224","Ammonium nitrate/calcium ammonium nitrate (AN/CAN) 34-0-0-0","July to June","Metric tonnes","214","thousands","3","v52471444","4.4.4","64","","","","0"
"2006/2007","Quebec","2016A000224","Ammonium sulphate (AS) 20-0-0-24","July to September","Metric tonnes","214","thousands","3","v52471121","4.5.1","1","","","","0"
"2006/2007","Quebec","2016A000224","Ammonium sulphate (AS) 20-0-0-24","July to December","Metric tonnes","214","thousands","3","v52471229","4.5.2","3","","","","0"
"2006/2007","Quebec","2016A000224","Ammonium sulphate (AS) 20-0-0-24","July to March","Metric tonnes","214","thousands","3","v52471337","4.5.3","3","","","","0"
"2006/2007","Quebec","2016A000224","Ammonium sulphate (AS) 20-0-0-24","July to June","Metric tonnes","214","thousands","3","v52471445","4.5.4","","x","","","0"
"2006/2007","Quebec","2016A000224","Monoammonium phosphate (MAP) 11-52-0","July to September","Metric tonnes","214","thousands","3","v52471122","4.6.1","","0s","","","0"
"2006/2007","Quebec","2016A000224","Monoammonium phosphate (MAP) 11-52-0","July to December","Metric tonnes","214","thousands","3","v52471230","4.6.2","6","","","","0"
"2006/2007","Quebec","2016A000224","Monoammonium phosphate (MAP) 11-52-0","July to March","Metric tonnes","214","thousands","3","v52471338","4.6.3","","x","","","0"
"2006/2007","Quebec","2016A000224","Monoammonium phosphate (MAP) 11-52-0","July to June","Metric tonnes","214","thousands","3","v52471446","4.6.4","","x","","","0"
"2006/2007","Quebec","2016A000224","Diammonium phosphate (DAP) 18-46-0","July to September","Metric tonnes","214","thousands","3","v52471123","4.7.1","3","","","","0"
"2006/2007","Quebec","2016A000224","Diammonium phosphate (DAP) 18-46-0","July to December","Metric tonnes","214","thousands","3","v52471231","4.7.2","5","","","","0"
"2006/2007","Quebec","2016A000224","Diammonium phosphate (DAP) 18-46-0","July to March","Metric tonnes","214","thousands","3","v52471339","4.7.3","","x","","","0"
"2006/2007","Quebec","2016A000224","Diammonium phosphate (DAP) 18-46-0","July to June","Metric tonnes","214","thousands","3","v52471447","4.7.4","34","","","","0"
"2006/2007","Quebec","2016A000224","Potash 0-0-60-0","July to September","Metric tonnes","214","thousands","3","v52471124","4.8.1","11","","","","0"
"2006/2007","Quebec","2016A000224","Potash 0-0-60-0","July to December","Metric tonnes","214","thousands","3","v52471232","4.8.2","19","","","","0"
"2006/2007","Quebec","2016A000224","Potash 0-0-60-0","July to March","Metric tonnes","214","thousands","3","v52471340","4.8.3","25","","","","0"
"2006/2007","Quebec","2016A000224","Potash 0-0-60-0","July to June","Metric tonnes","214","thousands","3","v52471448","4.8.4","83","","","","0"
"2006/2007","Quebec","2016A000224","Other fertilizer products","July to September","Metric tonnes","214","thousands","3","v52471125","4.9.1","6","","","","0"
"2006/2007","Quebec","2016A000224","Other fertilizer products","July to December","Metric tonnes","214","thousands","3","v52471233","4.9.2","14","","","","0"
"2006/2007","Quebec","2016A000224","Other fertilizer products","July to March","Metric tonnes","214","thousands","3","v52471341","4.9.3","16","","","","0"
"2006/2007","Quebec","2016A000224","Other fertilizer products","July to June","Metric tonnes","214","thousands","3","v52471449","4.9.4","28","","","","0"
"2006/2007","Ontario","2016A000235","Ammonia (NH3) 82-0-0-0","July to September","Metric tonnes","214","thousands","3","v52471126","5.1.1","2","","","","0"
"2006/2007","Ontario","2016A000235","Ammonia (NH3) 82-0-0-0","July to December","Metric tonnes","214","thousands","3","v52471234","5.1.2","5","","","","0"
"2006/2007","Ontario","2016A000235","Ammonia (NH3) 82-0-0-0","July to March","Metric tonnes","214","thousands","3","v52471342","5.1.3","7","","","","0"
"2006/2007","Ontario","2016A000235","Ammonia (NH3) 82-0-0-0","July to June","Metric tonnes","214","thousands","3","v52471450","5.1.4","26","","","","0"
"2006/2007","Ontario","2016A000235","Urea 46-0-0","July to September","Metric tonnes","214","thousands","3","v52471127","5.2.1","53","","","","0"
"2006/2007","Ontario","2016A000235","Urea 46-0-0","July to December","Metric tonnes","214","thousands","3","v52471235","5.2.2","110","","","","0"
"2006/2007","Ontario","2016A000235","Urea 46-0-0","July to March","Metric tonnes","214","thousands","3","v52471343","5.2.3","167","","","","0"
"2006/2007","Ontario","2016A000235","Urea 46-0-0","July to June","Metric tonnes","214","thousands","3","v52471451","5.2.4","217","","","","0"
"2006/2007","Ontario","2016A000235","Urea ammonium nitrate (UAN) 28-0-0-0","July to September","Metric tonnes","214","thousands","3","v52471128","5.3.1","30","","","","0"
"2006/2007","Ontario","2016A000235","Urea ammonium nitrate (UAN) 28-0-0-0","July to December","Metric tonnes","214","thousands","3","v52471236","5.3.2","77","","","","0"
"2006/2007","Ontario","2016A000235","Urea ammonium nitrate (UAN) 28-0-0-0","July to March","Metric tonnes","214","thousands","3","v52471344","5.3.3","100","","","","0"
