Date,Price,Open,High,Low,Vol.,Avg,ID
09/01/2020,379,347.75,382.75,343.25,2.13M,363.19,249
10/01/2020,398.5,379,422.25,377.25,4.51M,394.25,250
11/01/2020,419.75,396,430.5,393,3.53M,409.81,251
12/01/2020,484,420,485.75,409,1.65M,449.69,252
01/01/2021,547,487.25,553.75,479.5,4.29M,516.88,253
02/01/2021,555.5,549,574.25,524.75,3.56M,550.88,254
03/01/2021,564.25,560.5,571.25,532.75,1.76M,557.19,255
04/01/2021,740,575,746.25,549.75,3.43M,652.75,256
05/01/2021,656.75,740,775,602.75,1.54M,693.63,257
06/01/2021,720,666,743.25,629.5,3.53M,689.69,258
07/01/2021,547,719.75,750.5,536.75,891.07K,638.50,259
08/01/2021,534,547.25,589.5,524,2.14M,548.69,260
09/01/2021,536.75,534,548.5,487.75,1.54M,526.75,261
10/01/2021,568.25,536.75,569.25,506.75,2.88M,545.25,262
11/01/2021,567,568,589,547.75,3.65M,567.94,263
12/01/2021,593.25,568,617.75,567,1.45M,586.50,264
01/01/2022,626,599,642.5,584.75,3.46M,613.06,265
02/01/2022,697.5,626,718.75,610.25,3.56M,663.13,266
03/01/2022,748.75,699.75,800,699.75,1.43M,737.06,267
04/01/2022,818.25,748.5,827,730.25,2.40M,781.00,268
05/01/2022,753.5,811.5,822,747.25,1.31M,783.56,269
06/01/2022,743.75,753.75,800,720.5,3.07M,754.50,270
07/01/2022,616.25,748,800,561.5,969.91K,681.44,271
08/01/2022,673.75,619.75,684.25,583,1.96M,640.19,272
09/01/2022,677.5,671,725,655,1.68M,682.13,273
10/01/2022,691.5,680,706.5,671.5,2.81M,687.38,274
11/01/2022,662,689,698.5,651.25,3.14M,675.19,275
12/01/2022,678.5,661.75,685,623,1.00M,662.06,276
01/01/2023,679.75,677.25,688.75,648.25,2.92M,673.50,277
02/01/2023,629.5,679.25,688.25,629.25,2.79M,656.56,278
03/01/2023,660.5,630,664.5,618.25,1.82M,643.31,279
04/01/2023,636,659.5,682.5,572,13.72K,637.50,280
05/01/2023,593,583.3,656.25,547.1,176.21K,594.91,281
06/01/2023,554.5,594,672.5,552,3.16M,593.25,282
07/01/2023,504,558.5,614.75,495.25,1.29M,543.13,283
08/01/2023,461,504,512.25,459,2.20M,484.06,284
09/01/2023,476.75,461,490,455.75,1.23M,470.88,285
